column_a,column_b
"commodity /kəˈmɒdəti/
Examples: A barrel of oil is a common commodity traded worldwide.
People invest in different types of commodities to diversify their portfolios.","Part of Speech: noun
Definition: Anything movable (a good) that is bought and sold.; Something useful or valuable.
Synonyms: goods; merchandise
Antonyms: badsomeness; ugliness"
"snub /snʌb/
Examples: I hope the people we couldn't invite don't see it as a snub.","Part of Speech: noun
Definition: A deliberate affront or slight.; A sudden checking of a cable or rope.
Synonyms: disdainful; scornful
Antonyms: embrace; accept"
"snub /snʌb/
Examples: He snubbed my offer of help.","Part of Speech: verb
Definition: To slight, ignore or behave coldly toward someone.; To turn down; to dismiss.
Synonyms: cut someone cold; cut someone dead
Antonyms: embrace; accept"
"impetuous /imˈpɛtʃuəs/
Examples: He made an impetuous decision that he later regretted.
Her anger led her to act with impetuous force against the wall.","Part of Speech: adjective
Definition: Making arbitrary decisions, especially in an impulsive and forceful manner.; Characterized by sudden violence or vehemence.
Synonyms: hasty; hotheaded
Antonyms: gentle; cautious"
"succumbed 
Examples: Thai culture as in many other Asian cultures, is succumbing to the influence of westernization.","Part of Speech: verb
Definition: To yield to an overpowering force or overwhelming desire.; To give up, or give in.
Synonyms: gave in succumnered.
Antonyms: Alleged resisted; defied challenged"
"secularized 
Examples: A church has been secularized over generations.
The educational system is heavily influenced by a long history of Christianity that's now largely secularized.","Part of Speech: verb
Definition: To make secular.
Synonyms: nonclerical
Antonyms: religious; sacred"
"emanates 
Examples: Fragrance emanates from flowers.","Part of Speech: verb
Definition: To come from a source; issue from.; To send or give out; manifest.
Synonyms: radiates; exudes
Antonyms: Radiates outwardly; diffuses evenly."
"flounder /ˈflaʊndɚ/
Examples: He floundered when faced with a difficult decision.
She could not help but flounder as she searched for her glasses on the floor.","Part of Speech: noun
Definition: A European species of flatfish having dull brown colouring with reddish-brown blotches; fluke, European flounder, Platichthys flesus.; Any of various flatfish of the family Pleuronectidae or Bothidae.
Synonyms: plodder; falter
Antonyms: Overcome; struggle"
"eminently /ˈɛmɪnəntli/
Examples: Everyone supported the nominee because she was eminently qualified.","Part of Speech: adverb
Definition: In an eminent or prominent manner.; To a great degree; notably; highly.
Synonyms: highly; notably
Antonyms: Inferiorly; basely"
"embroiled 
Examples: Avoid him. He will embroil you in his fights.","Part of Speech: verb
Definition: To draw into a situation; to cause to be involved.; To implicate in confusion; to complicate; to jumble.
Synonyms: entangled; involved
Antonyms: Free from conflict; at peace."
